UID,Site,Replicate,Date,Time_Start,Time_End,LatitudeDec,LongitudeDec,CanopyCoverPer,PlantRichness,TreeRichness,VegRichness,PlantShannon,TreeShannon,VegShannon,PlantSimpson,TreeSimpson,VegSimpson,PlantInvSimp,TreeInvSimp,VegInvSimp,PlantEvenness,TreeEvenness,VegEvenness,Species,TotalCounts,PlantCounts,TreeCounts,ThresholdValue_Bottom,ThresholdValue_Top,N_Trees,SampleTime_min,PropTrees_Sampled
R2A,RA,2,2023-08-20,14:22,15:20,41.26137,-73.89417,90.14371470038633,0,3,3,0,1.0549201679861442,1.0549201679861442,0,0.6399999999999999,0.6399999999999999,0,2.7777777777777772,2.7777777777777772,0,0.3516400559953814,0.3516400559953814,Carpinus spp.,2,0,2,196,65535,5,58,0.6
R2A,RA,2,2023-08-20,14:22,15:20,41.26137,-73.89417,90.14371470038633,0,3,3,0,1.0549201679861442,1.0549201679861442,0,0.6399999999999999,0.6399999999999999,0,2.7777777777777772,2.7777777777777772,0,0.3516400559953814,0.3516400559953814,Liriodendron tulipifera,1,0,1,196,65535,5,58,0.6
R2A,RA,2,2023-08-20,14:22,15:20,41.26137,-73.89417,90.14371470038633,0,3,3,0,1.0549201679861442,1.0549201679861442,0,0.6399999999999999,0.6399999999999999,0,2.7777777777777772,2.7777777777777772,0,0.3516400559953814,0.3516400559953814,Acer spp.,2,0,2,196,65535,5,58,0.6
R2B,RB,2,2023-08-19,14:56,16:19,41.26344,-73.89543,98.81267321743512,2,5,7,0.34883209584303193,0.9507489270509151,1.3133131448869684,0.19753086419753085,0.4921875,0.6301652892561984,1.2461538461538462,1.9692307692307693,2.70391061452514,0.17441604792151597,0.19014978541018301,0.18761616355528118,Parathelypteris noveboracensis,24,24,0,156,65535,17,83,0.6470588235294118
R2B,RB,2,2023-08-19,14:56,16:19,41.26344,-73.89543,98.81267321743512,2,5,7,0.34883209584303193,0.9507489270509151,1.3133131448869684,0.19753086419753085,0.4921875,0.6301652892561984,1.2461538461538462,1.9692307692307693,2.70391061452514,0.17441604792151597,0.19014978541018301,0.18761616355528118,Galium circaezans,3,3,0,156,65535,17,83,0.6470588235294118
R2B,RB,2,2023-08-19,14:56,16:19,41.26344,-73.89543,98.81267321743512,2,5,7,0.34883209584303193,0.9507489270509151,1.3133131448869684,0.19753086419753085,0.4921875,0.6301652892561984,1.2461538461538462,1.9692307692307693,2.70391061452514,0.17441604792151597,0.19014978541018301,0.18761616355528118,Carpinus spp.,11,0,11,156,65535,17,83,0.6470588235294118
R2B,RB,2,2023-08-19,14:56,16:19,41.26344,-73.89543,98.81267321743512,2,5,7,0.34883209584303193,0.9507489270509151,1.3133131448869684,0.19753086419753085,0.4921875,0.6301652892561984,1.2461538461538462,1.9692307692307693,2.70391061452514,0.17441604792151597,0.19014978541018301,0.18761616355528118,Quercus spp.,2,0,2,156,65535,17,83,0.6470588235294118
R2B,RB,2,2023-08-19,14:56,16:19,41.26344,-73.89543,98.81267321743512,2,5,7,0.34883209584303193,0.9507489270509151,1.3133131448869684,0.19753086419753085,0.4921875,0.6301652892561984,1.2461538461538462,1.9692307692307693,2.70391061452514,0.17441604792151597,0.19014978541018301,0.18761616355528118,Magnolia acuminata,2,0,2,156,65535,17,83,0.6470588235294118
R2B,RB,2,2023-08-19,14:56,16:19,41.26344,-73.89543,98.81267321743512,2,5,7,0.34883209584303193,0.9507489270509151,1.3133131448869684,0.19753086419753085,0.4921875,0.6301652892561984,1.2461538461538462,1.9692307692307693,2.70391061452514,0.17441604792151597,0.19014978541018301,0.18761616355528118,Fraxinus spp.,1,0,1,156,65535,17,83,0.6470588235294118
R2B,RB,2,2023-08-19,14:56,16:19,41.26344,-73.89543,98.81267321743512,2,5,7,0.34883209584303193,0.9507489270509151,1.3133131448869684,0.19753086419753085,0.4921875,0.6301652892561984,1.2461538461538462,1.9692307692307693,2.70391061452514,0.17441604792151597,0.19014978541018301,0.18761616355528118,Acer spp.,1,0,1,156,65535,17,83,0.6470588235294118
